dataset;accuracy;precision;f1/dice;jaccard;sensitivity/recall;specificity
253_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_GaussianBlur;0,8447200775146484;0,6692580035861604;0,7157123526873612;0,581955728942425;0,8260173919673419;0,8605224336385348
254_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_GlassBlur;0,7979126358032227;0,6010363392381322;0,6232282201953029;0,4765146967023326;0,700744866613619;0,837417424623607
255_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_MedianBlur;0,8362429428100586;0,6658419588087063;0,6823140178530512;0,5443377830333376;0,7447303218188588;0,8718108924155779
256_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_MotionBlur;0,8310099411010742;0,6532664683533911;0,6876973429049812;0,5509776663791428;0,7871405189706648;0,856897971117188
257_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_ZoomBlur;0,8562251281738281;0,7014836456246367;0,7193535313101772;0,5858859862992025;0,7888142473828545;0,8863791578881666
258_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Morphological;0,7849567413330079;0,5740446903222911;0,6511082518330266;0,5039491560404362;0,8227530295268797;0,7844114771161291
259_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_PixelDropout;0,8670006942749023;0,7133947420517204;0,7474496927058963;0,6173918933146159;0,8303367038336121;0,8892184240710761
260_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Rotate;0,8636969375610352;0,713874682131118;0,724410350160835;0,594145081925357;0,7712277449931075;0,8940954541342492
261_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_SafeRotate;0,8601660919189453;0,7258680734884707;0,7037343162074993;0,5713090050725065;0,7257769304886977;0,9056227096527374
262_ORCA512_512x512_Epoch-400_Images-100_Batch-1_SmoothL1Loss_Adam_Perspective;0,8410647201538086;0,6920346242759902;0,6735495370710869;0,5344014550449121;0,693938859712691;0,8964366263618321
263_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_horizontal_flip;0,8521988677978516;0,6939315694344329;0,7214968969380477;0,5887777212914093;0,8068041006303995;0,8799885945921764
265_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_rotation;0,8685714340209961;0,7643098361237435;0,7230312801599352;0,5856404579140806;0,7225428095030233;0,9282279642330089
269_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_optical_distortion;0,8615579986572266;0,7347566495754981;0,7103368258945207;0,5764396790783765;0,7266060553056184;0,9147136489646384
264_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_vertical_flip;0,8563430404663086;0,7246014155945368;0,7089959513011709;0,5727185052971935;0,7358120855063636;0,9105367375726352
266_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_transpose;0,8646305465698242;0,7215649228680513;0,7381366604695704;0,6065458163976111;0,8027260641630254;0,89586810533273
267_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_elastic_transformation;0,8457490158081055;0,7010263578666905;0,6769696860537796;0,5415008947077511;0,6920136605756094;0,9042144758307653
268_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_grid_distortion;0,8671275329589844;0,7217021799424057;0,721857303722806;0,5918893910804255;0,7571851754420648;0,9030827654744278
270_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_color_transfer;0,8537921524047851;0,7060642722803783;0,7262346710013197;0,5924047272185118;0,8111302967966997;0,886430105089167
272_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_CLAHE;0,8565706634521484;0,7116915273518986;0,7173955086058754;0,5823790948744291;0,7619138409459338;0,896101982504993
273_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_Downscale;0,809199104309082;0,6194516657915627;0,6562009466749709;0,5097106280710816;0,7457466687536808;0,8393209353465843
279_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_RingingOvershoot;0,8342531204223633;0,6672144489663814;0,6885336693418759;0,5495562160872306;0,761076200540074;0,8698114562554369
280_ORCA512_512x512_Epoch-400_Images-100_Batch-1_L1Loss_Adam_Sharpen;0,8329236221313476;0,647525293909757;0,7096847328490955;0,5741106929046745;0,8479317915571268;0,8378487875626144
