model,augmentation,phase,epoch,loss,accuracy,TP,TN,FP,FN,date,time,transformations
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,26,0.28162674964353623,0.8813205450148816,43218986,260011686,22628793,18204535,2024-10-12 19:20:21.779042,29176.10187268257,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,26,0.280204106216196,0.8693446316189235,1645984,62449057,9284911,348048,2024-10-12 19:20:21.779072,29176.10187268257,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,27,0.2828116576733486,0.8797877691359745,43850729,258852570,22355832,19004869,2024-10-12 19:39:14.384783,30308.70761346817,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,27,0.3408052767652811,0.8543090684678821,388646,62597853,10542249,199252,2024-10-12 19:39:14.384813,30308.70761346817,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,28,0.2609009546082927,0.8921264648437496,44726624,262221976,20785185,16330215,2024-10-12 19:58:10.147344,31444.470173835754,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,28,0.35076288401691674,0.8568919542100694,1027068,62149862,9903827,647243,2024-10-12 19:58:10.147374,31444.470173835754,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,29,0.27920559472083933,0.8863272705078133,44579923,260373383,21167613,17943081,2024-10-12 20:17:04.077575,32578.400405406952,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,29,0.3081083792986141,0.8649247639973959,1168308,62600865,9762587,196240,2024-10-12 20:17:04.077606,32578.400405406952,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,30,0.28603339498651104,0.8843412737165192,43029234,261240762,22937430,16856574,2024-10-12 20:35:55.458923,33709.78175187111,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,30,0.2786403560445049,0.8774056939019098,2065492,62623875,8865403,173230,2024-10-12 20:35:55.458953,33709.78175187111,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,31,0.271333803168437,0.8882542288643973,44666867,260949436,21588279,16859418,2024-10-12 20:54:52.075421,34846.398250579834,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,31,0.2759449225087236,0.8697357991536457,1523477,62600404,9407418,196701,2024-10-12 20:54:52.075452,34846.398250579834,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,32,0.27333207515345875,0.8869290684291308,45146121,260014242,21294052,17609585,2024-10-12 21:13:49.556200,35983.879031181335,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,32,0.3199423660753786,0.8605697157118051,999996,62448088,9930899,349017,2024-10-12 21:13:49.556231,35983.879031181335,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,33,0.2610589671612875,0.8912892339797244,45849958,260810581,20167791,17235670,2024-10-12 21:32:43.407275,37117.73009967804,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,33,0.27250777534548737,0.8741689181857637,2010448,62440278,8920447,356827,2024-10-12 21:32:43.407306,37117.73009967804,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,34,0.27169837325292023,0.8868287004743308,45141294,259984536,20750354,18187816,2024-10-12 21:51:35.221822,38249.54465198517,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,34,0.25564692552757656,0.8774021538628473,2278859,62410247,8652036,386858,2024-10-12 21:51:35.221852,38249.54465198517,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,35,0.26178439648997265,0.8936993611653654,45615997,261873780,20165608,16408615,2024-10-12 22:10:25.111103,39379.43393325806,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,35,0.2639045714494488,0.8806072862413197,2345840,62579574,8585055,217531,2024-10-12 22:10:25.111134,39379.43393325806,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,36,0.2623863633750478,0.8955397629510797,45545282,262577711,20306080,15634927,2024-10-12 22:29:16.792397,40511.11522626877,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,test,36,0.25375681692773167,0.8806621500651042,2567969,62361490,8362926,435615,2024-10-12 22:29:16.792428,40511.11522626877,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_9_operations_all.pth,random_9_operations,train,37,0.2593755534977737,0.8914305652436753,46362460,260346706,19687544,17667290,2024-10-12 22:48:05.238790,41639.561619758606,[None 'horizontal_flip' 'vertical_flip' 'rotation' 'transpose' 'elastic_transformation' 'grid_distortion' 'optical_distortion' 'color_transfer' 'inpainting']
